time	V(quada)	V(quadb)
0.000000000000000e+00	5.941129e-05	5.941723e-27
3.571428470421675e-11	5.941130e-05	3.268074e-12
7.142856940843349e-11	5.941130e-05	5.478922e-12
1.071428541126502e-10	5.941130e-05	6.632543e-12
1.428571388168670e-10	5.941130e-05	6.728938e-12
1.785714235210837e-10	5.941130e-05	5.768106e-12
2.142857082253005e-10	5.941130e-05	3.750048e-12
2.499999929295171e-10	5.941129e-05	6.747638e-13
1.936000000000000e-07	5.957853e-05	-1.674703e-07
2.114600000000000e-07	5.959876e-05	-1.876445e-07
2.223010000000000e-07	5.960810e-05	-1.969462e-07
2.225510000000000e-07	5.960828e-05	-1.971337e-07
2.226764793049749e-07	5.960837e-05	-1.972256e-07
2.227078491312186e-07	5.960840e-05	-1.972451e-07
2.227705887837060e-07	5.960844e-05	-1.972350e-07
2.228434599790394e-07	5.960845e-05	-1.970646e-07
2.228809542056657e-07	5.960840e-05	-1.967305e-07
2.229208818527270e-07	5.960825e-05	-1.959073e-07
2.229425168428028e-07	5.960807e-05	-1.949748e-07
2.229681319880380e-07	5.960768e-05	-1.928714e-07
2.229907229107951e-07	5.960705e-05	-1.894586e-07
2.230126983508262e-07	5.960591e-05	-1.832292e-07
2.230355186533677e-07	5.960369e-05	-1.708177e-07
2.230598590432626e-07	5.959912e-05	-1.449795e-07
2.230847243970385e-07	5.958978e-05	-9.285468e-08
2.231109400187677e-07	5.956995e-05	1.444299e-08
2.231384556487900e-07	5.952784e-05	2.294579e-07
2.231686332431537e-07	5.945397e-05	5.918066e-07
2.231728821187331e-07	5.943900e-05	6.623656e-07
2.231813798698919e-07	5.939911e-05	8.435058e-07
2.231983753722094e-07	5.929150e-05	1.305085e-06
2.232257219638956e-07	5.900035e-05	2.412226e-06
2.232767375036096e-07	5.801079e-05	5.662702e-06
2.233328986154087e-07	5.584384e-05	1.154743e-05
2.234202150321500e-07	4.945203e-05	2.605557e-05
2.235185966300926e-07	3.684627e-05	5.036866e-05
2.236313225540520e-07	1.358053e-05	8.950284e-05
2.237555827045597e-07	-2.447920e-05	1.467475e-04
2.238983605727088e-07	-8.691039e-05	2.320130e-04
2.241097828043046e-07	-2.128655e-04	3.915790e-04
2.243405854105237e-07	-3.887551e-04	6.031886e-04
2.245120503257485e-07	-5.426958e-04	7.829652e-04
2.245544457590617e-07	-5.862831e-04	8.327778e-04
2.245974973640844e-07	-6.324413e-04	8.852069e-04
2.246455094753431e-07	-6.856380e-04	9.453547e-04
2.247022668408653e-07	-7.509752e-04	1.018852e-03
2.247680080833174e-07	-8.299720e-04	1.107228e-03
2.248489962768916e-07	-9.331680e-04	1.221871e-03
2.250109726640400e-07	-1.159679e-03	1.471033e-03
2.253349254383368e-07	-1.670416e-03	2.026969e-03
2.256781750321277e-07	-2.285689e-03	2.691302e-03
2.259387732896025e-07	-2.815888e-03	3.261925e-03
2.261765953766138e-07	-3.345017e-03	3.831891e-03
2.261954895355259e-07	-3.389644e-03	3.880107e-03
2.262332778533502e-07	-3.482273e-03	3.980421e-03
2.262814824077640e-07	-3.602495e-03	4.110736e-03
2.263293675410899e-07	-3.724620e-03	4.243220e-03
2.263836835648032e-07	-3.866652e-03	4.397362e-03
2.264422727524608e-07	-4.024072e-03	4.568200e-03
2.265078589499950e-07	-4.206310e-03	4.765861e-03
2.266099423314176e-07	-4.504840e-03	5.089136e-03
2.268141090942626e-07	-5.158338e-03	5.794281e-03
2.272224426199527e-07	-6.703618e-03	7.450505e-03
2.280391096713328e-07	-1.085109e-02	1.185049e-02
2.295992894807084e-07	-2.228327e-02	2.385858e-02
2.313139640968481e-07	-4.082489e-02	4.317516e-02
2.330930768712511e-07	-6.842142e-02	7.174794e-02
2.347206483528320e-07	-1.034745e-01	1.078595e-01
2.367169611208007e-07	-1.606674e-01	1.665462e-01
2.385577898139232e-07	-2.287126e-01	2.361358e-01
2.405258827965634e-07	-3.208024e-01	3.300396e-01
2.426694873959102e-07	-4.422473e-01	4.535906e-01
2.441246567006698e-07	-5.377890e-01	5.506129e-01
2.450120762442858e-07	-6.025980e-01	6.163265e-01
2.456985843015404e-07	-6.563239e-01	6.707351e-01
2.463559920567025e-07	-7.104231e-01	7.254744e-01
2.470423859615171e-07	-7.698674e-01	7.855816e-01
2.481879927689283e-07	-8.764445e-01	8.932568e-01
2.504792063837506e-07	-1.109295e+00	1.128280e+00
2.528069490681178e-07	-1.365115e+00	1.386286e+00
